Country,Year,Month,Visitors
 Portugal,2008, June,1002
 Portugal,2008, July,993
 Portugal,2008, August,1700
 Portugal,2008, september,1050
 Portugal,2008, October,1080
 Portugal,2008, november,817
 Portugal,2008, december,839
 Ireland,2008, January,1113
 Ireland,2008, February,895
 Ireland,2008, March,1313
 Ireland,2008, April,1032
 Ireland,2008, May,1004
 Ireland,2008, June,1009
 Ireland,2008, July,1238
 Ireland,2008, August,956
 Ireland,2008, september,1046
 Ireland,2008, October,1181
 Ireland,2008, november,861
 Ireland,2008, december,865
 US,2008, January,54169
 US,2008, February,49968
 US,2008, March,82222
 US,2008, April,69186
 US,2008, May,69105
 US,2008, June,76691
 US,2008, July,72992
 US,2008, August,57121
 US,2008, september,57851
 US,2008, October,68058
 US,2008, november,56044
 US,2008, december,54938
 Canada,2008, January,13973
 Canada,2008, February,14046
 Canada,2008, March,18966
 Canada,2008, April,14580
 Canada,2008, May,13010
 Canada,2008, June,11846
 Canada,2008, July,15716
 Canada,2008, August,13156
 Canada,2008, september,11515
 Canada,2008, October,14201
 Canada,2008, november,12752
 Canada,2008, december,14546
 Mexico,2008, January,1381
 Mexico,2008, February,1078
 Mexico,2008, March,2775
 Mexico,2008, April,1845
 Mexico,2008, May,2252
 Mexico,2008, June,1685
 Mexico,2008, July,3399
 Mexico,2008, August,1951
 Mexico,2008, september,2236
 Mexico,2008, October,2300
 Mexico,2008, november,1811
 Mexico,2008, december,1481
 Brazil,2008, January,1373
 Brazil,2008, February,960
 Brazil,2008, March,1857
 Brazil,2008, April,2226
 Brazil,2008, May,1703
 Brazil,2008, June,1662
 Brazil,2008, July,2445
 Brazil,2008, August,1479
 Brazil,2008, september,1743
 Brazil,2008, October,2047
 Brazil,2008, november,2020
 Brazil,2008, december,1466
 Australia,2008, January,29457
 Australia,2008, February,20517
 Australia,2008, March,22346
 Australia,2008, April,19130
 Australia,2008, May,16412
 Australia,2008, June,17949
 Australia,2008, July,20652
 Australia,2008, August,17231
 Australia,2008, september,23689
 Australia,2008, October,18200
 Australia,2008, november,14334
 Australia,2008, december,22114
 new zealand,2008, January,3132
 new zealand,2008, February,2180
 new zealand,2008, March,2833
 new zealand,2008, April,3322
 new zealand,2008, May,2478
 new zealand,2008, June,2434
 new zealand,2008, July,3160
 new zealand,2008, August,2700
 new zealand,2008, september,3356
 new zealand,2008, October,2820
 new zealand,2008, november,2157
 new zealand,2008, december,3110
 South Korea,2009, January,129756
 South Korea,2009, February,106929
 South Korea,2009, March,108350
 South Korea,2009, April,113313
 South Korea,2009, May,117897
 South Korea,2009, June,104237
 South Korea,2009, July,170240
 South Korea,2009, August,190987
 South Korea,2009, september,105470
 South Korea,2009, October,131195
 South Korea,2009, november,130371
 South Korea,2009, december,178027
 China,2009, January,110262
 China,2009, February,62981
 China,2009, March,100951
 China,2009, April,106816
 China,2009, May,60530
 China,2009, June,36597
 China,2009, July,67944
 China,2009, August,109017
 China,2009, september,98697
 China,2009, October,108301
 China,2009, november,81462
 China,2009, december,62527
 Taiwan,2009, January,97026
 Taiwan,2009, February,59248
 Taiwan,2009, March,75391
 Taiwan,2009, April,91268
 Taiwan,2009, May,70297
 Taiwan,2009, June,61144
 Taiwan,2009, July,115734
 Taiwan,2009, August,114751
 Taiwan,2009, september,77471
 Taiwan,2009, October,97996
 Taiwan,2009, november,85335
 Taiwan,2009, december,78631
 Hong Kong,2009, January,46555
 Hong Kong,2009, February,22116
 Hong Kong,2009, March,30519
 Hong Kong,2009, April,44968
 Hong Kong,2009, May,27769
 Hong Kong,2009, June,26199
 Hong Kong,2009, July,48951
 Hong Kong,2009, August,47134
 Hong Kong,2009, september,32657
 Hong Kong,2009, October,39823
 Hong Kong,2009, november,32125
 Hong Kong,2009, december,50752
 Thailand,2009, January,8724
 Thailand,2009, February,10563
 Thailand,2009, March,24025
 Thailand,2009, April,29049
 Thailand,2009, May,14046
 Thailand,2009, June,5952
 Thailand,2009, July,9631
 Thailand,2009, August,8085
 Thailand,2009, september,11863
 Thailand,2009, October,24619
 Thailand,2009, november,14298
 Thailand,2009, december,16686
 Singapore,2009, January,9058
 Singapore,2009, February,5055
 Singapore,2009, March,9557
 Singapore,2009, April,11964
 Singapore,2009, May,9339
 Singapore,2009, June,8767
 Singapore,2009, July,6839
 Singapore,2009, August,6922
 Singapore,2009, september,9336
 Singapore,2009, October,13592
 Singapore,2009, november,19871
 Singapore,2009, december,34924
Malaysia,2009, January,6195
Malaysia,2009, February,4390
Malaysia,2009, March,8993
Malaysia,2009, April,9161
Malaysia,2009, May,5563
Malaysia,2009, June,4604
Malaysia,2009, July,4907
Malaysia,2009, August,4977
Malaysia,2009, september,7761
Malaysia,2009, October,8459
Malaysia,2009, november,9718
Malaysia,2009, december,14781
 Indonesia,2009, January,2968
 Indonesia,2009, February,2496
 Indonesia,2009, March,4419
 Indonesia,2009, April,4646
 Indonesia,2009, May,3504
 Indonesia,2009, June,5230
 Indonesia,2009, July,4719
 Indonesia,2009, August,4024
 Indonesia,2009, september,10638
 Indonesia,2009, October,5587
 Indonesia,2009, november,5484
 Indonesia,2009, december,9902
 Philippines,2009, January,6655
 Philippines,2009, February,4057
 Philippines,2009, March,6345
 Philippines,2009, April,9276
 Philippines,2009, May,6743
 Philippines,2009, June,4822
 Philippines,2009, July,5193
 Philippines,2009, August,5804
 Philippines,2009, september,5036
 Philippines,2009, October,6138
 Philippines,2009, november,5551
 Philippines,2009, december,5865
 Vietnam,2009, January,2405
 Vietnam,2009, February,2516
 Vietnam,2009, March,3611
 Vietnam,2009, April,3059
 Vietnam,2009, May,2402
 Vietnam,2009, June,2225
 Vietnam,2009, July,2511
 Vietnam,2009, August,2874
 Vietnam,2009, september,3403
 Vietnam,2009, October,3397
 Vietnam,2009, november,3330
 Vietnam,2009, december,2488
 India,2009, January,5325
 India,2009, February,3941
 India,2009, March,4633
 India,2009, April,4764
 India,2009, May,5618
 India,2009, June,4455
 India,2009, July,4889
 India,2009, August,5189
 India,2009, september,5502
 India,2009, October,5274
 India,2009, november,5133
 India,2009, december,4195
 Israel,2009, January,556
 Israel,2009, February,590
 Israel,2009, March,1294
 Israel,2009, April,1763
 Israel,2009, May,908
 Israel,2009, June,768
 Israel,2009, July,982
 Israel,2009, August,812
 Israel,2009, september,1296
 Israel,2009, October,1673
 Israel,2009, november,979
 Israel,2009, december,584
 Türkiye,2009, January,435
 Türkiye,2009, February,547
 Türkiye,2009, March,719
 Türkiye,2009, April,673
 Türkiye,2009, May,889
 Türkiye,2009, June,604
 Türkiye,2009, July,673
 Türkiye,2009, August,653
 Türkiye,2009, september,643
 Türkiye,2009, October,872
 Türkiye,2009, november,649
 Türkiye,2009, december,481
 uk,2009, January,13598
 uk,2009, February,11305
 uk,2009, March,18837
 uk,2009, April,20204
 uk,2009, May,13286
 uk,2009, June,11376
 uk,2009, July,16174
 uk,2009, August,14943
 uk,2009, september,14418
 uk,2009, October,18288
 uk,2009, november,15264
 uk,2009, december,13767
 France,2009, January,8154
 France,2009, February,7606
 France,2009, March,12193
 France,2009, April,17919
 France,2009, May,13041
 France,2009, June,9103
 France,2009, July,13779
 France,2009, August,13917
 France,2009, september,10159
 France,2009, October,15256
 France,2009, november,10219
 France,2009, december,9905
 Germany,2009, January,6503
 Germany,2009, February,7787
 Germany,2009, March,11881
 Germany,2009, April,11046
 Germany,2009, May,9076
 Germany,2009, June,7529
 Germany,2009, July,8653
 Germany,2009, August,8594
 Germany,2009, september,9696
 Germany,2009, October,12646
 Germany,2009, november,10446
 Germany,2009, december,6835
 Italy,2009, January,2711
 Italy,2009, February,2546
 Italy,2009, March,4496
 Italy,2009, April,6067
 Italy,2009, May,4808
 Italy,2009, June,4197
 Italy,2009, July,5346
 Italy,2009, August,9683
 Italy,2009, september,4901
 Italy,2009, October,5764
 Italy,2009, november,4261
 Italy,2009, december,4827
 Russia,2009, January,4688
 Russia,2009, February,2687
 Russia,2009, March,3891
 Russia,2009, April,3578
 Russia,2009, May,3666
 Russia,2009, June,3800
 Russia,2009, July,4327
 Russia,2009, August,4042
 Russia,2009, september,3637
 Russia,2009, October,4500
 Russia,2009, november,4469
 Russia,2009, december,3667
 Spain,2009, January,1360
 Spain,2009, February,1737
 Spain,2009, March,3431
 Spain,2009, April,4063
 Spain,2009, May,2630
 Spain,2009, June,2552
 Spain,2009, July,5104
 Spain,2009, August,7184
 Spain,2009, september,3985
 Spain,2009, October,4647
 Spain,2009, november,2827
 Spain,2009, december,2964
Sweden,2009, January,1827
Sweden,2009, February,1611
Sweden,2009, March,2999
Sweden,2009, April,2627
Sweden,2009, May,1984
Sweden,2009, June,2228
Sweden,2009, July,1845
Sweden,2009, August,1681
Sweden,2009, september,2018
Sweden,2009, October,3267
Sweden,2009, november,2384
Sweden,2009, december,1913
 Netherlands,2009, January,2013
 Netherlands,2009, February,1954
 Netherlands,2009, March,2898
 Netherlands,2009, April,3154
 Netherlands,2009, May,2386
 Netherlands,2009, June,2016
 Netherlands,2009, July,3229
 Netherlands,2009, August,2344
 Netherlands,2009, september,2425
 Netherlands,2009, October,3533
 Netherlands,2009, november,2787
 Netherlands,2009, december,2447
 Switzerland,2009, January,1175
 Switzerland,2009, February,1314
 Switzerland,2009, March,2195
 Switzerland,2009, April,2793
 Switzerland,2009, May,1887
 Switzerland,2009, June,1624
 Switzerland,2009, July,2320
 Switzerland,2009, August,1633
 Switzerland,2009, september,2073
 Switzerland,2009, October,2769
 Switzerland,2009, november,1829
 Switzerland,2009, december,1479
 Belgium,2009, January,775
 Belgium,2009, February,816
 Belgium,2009, March,1368
 Belgium,2009, April,1563
 Belgium,2009, May,1154
 Belgium,2009, June,1036
 Belgium,2009, July,1324
 Belgium,2009, August,1023
 Belgium,2009, september,1109
 Belgium,2009, October,1563
 Belgium,2009, november,1248
 Belgium,2009, december,920
 Finland,2009, January,1260
 Finland,2009, February,1389
 Finland,2009, March,2061
 Finland,2009, April,1744
 Finland,2009, May,1471
 Finland,2009, June,1682
 Finland,2009, July,1686
 Finland,2009, August,1254
 Finland,2009, september,1155
 Finland,2009, October,1683
 Finland,2009, november,1118
 Finland,2009, december,1294
Poland,2009, January,456
Poland,2009, February,394
Poland,2009, March,720
Poland,2009, April,914
Poland,2009, May,748
Poland,2009, June,587
Poland,2009, July,833
Poland,2009, August,802
Poland,2009, september,872
Poland,2009, October,1017
Poland,2009, november,759
Poland,2009, december,536
 Denmark,2009, January,911
 Denmark,2009, February,949
 Denmark,2009, March,1385
 Denmark,2009, April,1233
 Denmark,2009, May,1006
 Denmark,2009, June,942
 Denmark,2009, July,1246
 Denmark,2009, August,786
 Denmark,2009, september,1062
 Denmark,2009, October,1728
 Denmark,2009, november,1084
 Denmark,2009, december,784
 Norway,2009, January,770
 Norway,2009, February,795
 Norway,2009, March,1303
 Norway,2009, April,878
 Norway,2009, May,763
 Norway,2009, June,796
 Norway,2009, July,803
 Norway,2009, August,597
 Norway,2009, september,745
 Norway,2009, October,875
 Norway,2009, november,803
 Norway,2009, december,727
 Austria,2009, January,869
 Austria,2009, February,892
 Austria,2009, March,1364
 Austria,2009, April,1219
 Austria,2009, May,1092
 Austria,2009, June,901
 Austria,2009, July,1261
 Austria,2009, August,1130
 Austria,2009, september,1554
 Austria,2009, October,1428
 Austria,2009, november,1110
 Austria,2009, december,864
 Portugal,2009, January,588
 Portugal,2009, February,408
 Portugal,2009, March,664
 Portugal,2009, April,850
 Portugal,2009, May,610
 Portugal,2009, June,565
 Portugal,2009, July,683
 Portugal,2009, August,1104
 Portugal,2009, september,670
 Portugal,2009, October,791
 Portugal,2009, november,619
 Portugal,2009, december,911
 Ireland,2009, January,977
 Ireland,2009, February,687
 Ireland,2009, March,936
 Ireland,2009, April,946
 Ireland,2009, May,722
 Ireland,2009, June,834
 Ireland,2009, July,981
 Ireland,2009, August,868
 Ireland,2009, september,745
 Ireland,2009, October,1076
 Ireland,2009, november,862
 Ireland,2009, december,816
 US,2009, January,47306
 US,2009, February,38837
 US,2009, March,64921
 US,2009, April,61708
 US,2009, May,58595
 US,2009, June,67762
 US,2009, July,70373
 US,2009, August,58044
 US,2009, september,52322
 US,2009, October,66577
 US,2009, november,57866
 US,2009, december,55608
 Canada,2009, January,13520
 Canada,2009, February,8848
 Canada,2009, March,14444
 Canada,2009, April,14618
 Canada,2009, May,12184
 Canada,2009, June,10523
 Canada,2009, July,14100
 Canada,2009, August,13429
 Canada,2009, september,10869
 Canada,2009, October,14504
 Canada,2009, november,12375
 Canada,2009, december,13342
 Mexico,2009, January,981
 Mexico,2009, February,779
 Mexico,2009, March,1254
 Mexico,2009, April,1842
 Mexico,2009, May,586
 Mexico,2009, June,862
 Mexico,2009, July,1726
 Mexico,2009, August,1336
 Mexico,2009, september,1605
 Mexico,2009, October,2147
 Mexico,2009, november,1679
 Mexico,2009, december,1657
 Brazil,2009, January,1066
 Brazil,2009, February,806
 Brazil,2009, March,1411
 Brazil,2009, April,1565
 Brazil,2009, May,1343
 Brazil,2009, June,1182
 Brazil,2009, July,1573
 Brazil,2009, August,1243
 Brazil,2009, september,1530
 Brazil,2009, October,2211
 Brazil,2009, november,1725
 Brazil,2009, december,1244
 Australia,2009, January,26919
 Australia,2009, February,17101
 Australia,2009, March,18096
 Australia,2009, April,15929
 Australia,2009, May,11995
 Australia,2009, June,12778
 Australia,2009, July,15211
 Australia,2009, August,13358
 Australia,2009, september,18833
 Australia,2009, October,19907
 Australia,2009, november,17289
 Australia,2009, december,24243
 new zealand,2009, January,3085
 new zealand,2009, February,1846
 new zealand,2009, March,2605
 new zealand,2009, April,2784
 new zealand,2009, May,2063
 new zealand,2009, June,2295
 new zealand,2009, July,2700
 new zealand,2009, August,2222
 new zealand,2009, september,2895
 new zealand,2009, October,3657
 new zealand,2009, november,2419
 new zealand,2009, december,2996
 South Korea,2010, January,232053
 South Korea,2010, February,197784
 South Korea,2010, March,169295
 South Korea,2010, April,189582
 South Korea,2010, May,201484
 South Korea,2010, June,179088
 South Korea,2010, July,236092
 South Korea,2010, August,246882
 South Korea,2010, september,193975
 South Korea,2010, October,193829
 South Korea,2010, november,197244
 South Korea,2010, december,202508
 China,2010, January,92120
 China,2010, February,121494
 China,2010, March,123314
 China,2010, April,150788
 China,2010, May,112558
 China,2010, June,103706
 China,2010, July,164944
 China,2010, August,171503
 China,2010, september,137333
 China,2010, October,106237
 China,2010, november,68385
 China,2010, december,60493
 Taiwan,2010, January,89849
 Taiwan,2010, February,105416
 Taiwan,2010, March,89524
 Taiwan,2010, April,109680
 Taiwan,2010, May,114168
 Taiwan,2010, June,113900
 Taiwan,2010, July,152925
 Taiwan,2010, August,113438
 Taiwan,2010, september,102811
 Taiwan,2010, October,105678
 Taiwan,2010, november,89412
 Taiwan,2010, december,81477
 Hong Kong,2010, January,30522
 Hong Kong,2010, February,52235
 Hong Kong,2010, March,36366
 Hong Kong,2010, April,46598
 Hong Kong,2010, May,40864
 Hong Kong,2010, June,47490
 Hong Kong,2010, July,68846
 Hong Kong,2010, August,51526
 Hong Kong,2010, september,33767
 Hong Kong,2010, October,30423
 Hong Kong,2010, november,27432
 Hong Kong,2010, december,42622
 Thailand,2010, January,9881
 Thailand,2010, February,9944
 Thailand,2010, March,28340
 Thailand,2010, April,36817
 Thailand,2010, May,17014
 Thailand,2010, June,9967
 Thailand,2010, July,14208
 Thailand,2010, August,9857
 Thailand,2010, september,12777
 Thailand,2010, October,27812
 Thailand,2010, november,18894
 Thailand,2010, december,19370
 Singapore,2010, January,6577
 Singapore,2010, February,10791
 Singapore,2010, March,13469
 Singapore,2010, April,13817
 Singapore,2010, May,15041
 Singapore,2010, June,17644
 Singapore,2010, July,11556
 Singapore,2010, August,7239
 Singapore,2010, september,10929
 Singapore,2010, October,13459
 Singapore,2010, november,23611
 Singapore,2010, december,36827
Malaysia,2010, January,4689
Malaysia,2010, February,7943
Malaysia,2010, March,12130
Malaysia,2010, April,11482
Malaysia,2010, May,10252
Malaysia,2010, June,8295
Malaysia,2010, July,7960
Malaysia,2010, August,4996
Malaysia,2010, september,9033
Malaysia,2010, October,9233
Malaysia,2010, november,11055
Malaysia,2010, december,17451
 Indonesia,2010, January,3735
 Indonesia,2010, February,3363
 Indonesia,2010, March,6381
 Indonesia,2010, April,6774
 Indonesia,2010, May,5109
 Indonesia,2010, June,7941
 Indonesia,2010, July,6179
 Indonesia,2010, August,3720
 Indonesia,2010, september,13681
 Indonesia,2010, October,7010
 Indonesia,2010, november,5615
 Indonesia,2010, december,11124
 Philippines,2010, January,6532
 Philippines,2010, February,4505
 Philippines,2010, March,7907
 Philippines,2010, April,8575
 Philippines,2010, May,8546
 Philippines,2010, June,5394
 Philippines,2010, July,5238
 Philippines,2010, August,5517
 Philippines,2010, september,6133
 Philippines,2010, October,6797
 Philippines,2010, november,5894
 Philippines,2010, december,6339
 Vietnam,2010, January,2737
 Vietnam,2010, February,2652
 Vietnam,2010, March,4606
 Vietnam,2010, April,4000
 Vietnam,2010, May,3086
 Vietnam,2010, June,3485
 Vietnam,2010, July,3283
 Vietnam,2010, August,3421
 Vietnam,2010, september,3761
 Vietnam,2010, October,4226
 Vietnam,2010, november,3772
 Vietnam,2010, december,2833
 India,2010, January,5758
 India,2010, February,3999
 India,2010, March,5310
 India,2010, April,5557
 India,2010, May,7942
 India,2010, June,5813
 India,2010, July,5395
 India,2010, August,5401
 India,2010, september,5392
 India,2010, October,6603
 India,2010, november,5357
 India,2010, december,4292
 Israel,2010, January,715
 Israel,2010, February,611
 Israel,2010, March,1993
 Israel,2010, April,2225
 Israel,2010, May,884
 Israel,2010, June,723
 Israel,2010, July,859
 Israel,2010, August,914
 Israel,2010, september,1856
 Israel,2010, October,1910
 Israel,2010, november,978
 Israel,2010, december,521
 Türkiye,2010, January,617
 Türkiye,2010, February,531
 Türkiye,2010, March,886
 Türkiye,2010, April,871
 Türkiye,2010, May,702
 Türkiye,2010, June,712
 Türkiye,2010, July,842
 Türkiye,2010, August,875
 Türkiye,2010, september,790
 Türkiye,2010, October,1147
 Türkiye,2010, november,1378
 Türkiye,2010, december,578
 uk,2010, January,12261
 uk,2010, February,15630
 uk,2010, March,17809
 uk,2010, April,18419
 uk,2010, May,14969
 uk,2010, June,12071
 uk,2010, July,16233
 uk,2010, August,14880
 uk,2010, september,15545
 uk,2010, October,18505
 uk,2010, november,15068
 uk,2010, december,12655
 France,2010, January,8218
 France,2010, February,8700
 France,2010, March,13265
 France,2010, April,17451
 France,2010, May,13699
 France,2010, June,9686
 France,2010, July,16202
 France,2010, August,14446
 France,2010, september,11475
 France,2010, October,16580
 France,2010, november,11121
 France,2010, december,10168
 Germany,2010, January,6899
 Germany,2010, February,7293
 Germany,2010, March,14141
 Germany,2010, April,10196
 Germany,2010, May,10944
 Germany,2010, June,8550
 Germany,2010, July,9844
 Germany,2010, August,9789
 Germany,2010, september,11534
 Germany,2010, October,15302
 Germany,2010, november,12463
 Germany,2010, december,7405
 Italy,2010, January,3528
 Italy,2010, February,3332
 Italy,2010, March,6235
 Italy,2010, April,5536
 Italy,2010, May,5138
 Italy,2010, June,3955
 Italy,2010, July,5748
 Italy,2010, August,8279
 Italy,2010, september,5065
 Italy,2010, October,6638
 Italy,2010, november,4702
 Italy,2010, december,4238
 Russia,2010, January,4119
 Russia,2010, February,2450
 Russia,2010, March,4478
 Russia,2010, April,5021
 Russia,2010, May,4238
 Russia,2010, June,3750
 Russia,2010, July,4934
 Russia,2010, August,4375
 Russia,2010, september,3994
 Russia,2010, October,5426
 Russia,2010, november,4976
 Russia,2010, december,3696
 Spain,2010, January,1767
 Spain,2010, February,1942
 Spain,2010, March,4338
 Spain,2010, April,2706
 Spain,2010, May,3166
 Spain,2010, June,2997
 Spain,2010, July,5543
 Spain,2010, August,7368
 Spain,2010, september,4560
 Spain,2010, October,4581
 Spain,2010, november,2909
 Spain,2010, december,2199
Sweden,2010, January,1904
Sweden,2010, February,1848
Sweden,2010, March,3384
Sweden,2010, April,2998
Sweden,2010, May,2437
Sweden,2010, June,2470
Sweden,2010, July,2104
Sweden,2010, August,1873
Sweden,2010, september,2273
Sweden,2010, October,3467
Sweden,2010, november,2604
Sweden,2010, december,1826
 Netherlands,2010, January,1995
 Netherlands,2010, February,2134
 Netherlands,2010, March,3064
 Netherlands,2010, April,2934
 Netherlands,2010, May,3013
 Netherlands,2010, June,2136
 Netherlands,2010, July,3644
 Netherlands,2010, August,2202
 Netherlands,2010, september,2793
 Netherlands,2010, October,3688
 Netherlands,2010, november,3038
 Netherlands,2010, december,2196
 Switzerland,2010, January,1317
 Switzerland,2010, February,1335
 Switzerland,2010, March,2667
 Switzerland,2010, April,2903
 Switzerland,2010, May,2207
 Switzerland,2010, June,1552
 Switzerland,2010, July,2860
 Switzerland,2010, August,1912
 Switzerland,2010, september,2309
 Switzerland,2010, October,3360
 Switzerland,2010, november,2063
 Switzerland,2010, december,1520
 Belgium,2010, January,895
 Belgium,2010, February,892
 Belgium,2010, March,1401
 Belgium,2010, April,1758
 Belgium,2010, May,1341
 Belgium,2010, June,1028
 Belgium,2010, July,1646
 Belgium,2010, August,1187
 Belgium,2010, september,1547
 Belgium,2010, October,1923
 Belgium,2010, november,1486
 Belgium,2010, december,877
 Finland,2010, January,1193
 Finland,2010, February,1090
 Finland,2010, March,1942
 Finland,2010, April,1526
 Finland,2010, May,1347
 Finland,2010, June,1582
 Finland,2010, July,1510
 Finland,2010, August,1042
 Finland,2010, september,1117
 Finland,2010, October,1857
 Finland,2010, november,1579
 Finland,2010, december,1175
Poland,2010, January,465
Poland,2010, February,457
Poland,2010, March,928
Poland,2010, April,1193
Poland,2010, May,924
Poland,2010, June,570
Poland,2010, July,984
Poland,2010, August,1037
Poland,2010, september,1066
Poland,2010, October,1097
Poland,2010, november,1058
Poland,2010, december,474
 Denmark,2010, January,906
 Denmark,2010, February,1091
 Denmark,2010, March,1742
 Denmark,2010, April,1070
 Denmark,2010, May,1183
 Denmark,2010, June,1145
 Denmark,2010, July,1539
 Denmark,2010, August,866
 Denmark,2010, september,1216
 Denmark,2010, October,1792
 Denmark,2010, november,1279
 Denmark,2010, december,777
 Norway,2010, January,729
 Norway,2010, February,641
 Norway,2010, March,1467
 Norway,2010, April,741
 Norway,2010, May,651
 Norway,2010, June,835
 Norway,2010, July,1019
 Norway,2010, August,654
 Norway,2010, september,858
 Norway,2010, October,1132
 Norway,2010, november,984
 Norway,2010, december,591
 Austria,2010, January,886
 Austria,2010, February,938
 Austria,2010, March,1395
 Austria,2010, April,1196
 Austria,2010, May,1324
 Austria,2010, June,954
 Austria,2010, July,1312
 Austria,2010, August,1133
 Austria,2010, september,1252
 Austria,2010, October,1860
 Austria,2010, november,1258
 Austria,2010, december,932
 Portugal,2010, January,524
 Portugal,2010, February,754
 Portugal,2010, March,843
 Portugal,2010, April,865
 Portugal,2010, May,711
 Portugal,2010, June,845
 Portugal,2010, July,1114
 Portugal,2010, August,1634
 Portugal,2010, september,805
 Portugal,2010, October,851
 Portugal,2010, november,646
 Portugal,2010, december,721
 Ireland,2010, January,827
 Ireland,2010, February,683
 Ireland,2010, March,1076
 Ireland,2010, April,864
 Ireland,2010, May,873
 Ireland,2010, June,857
 Ireland,2010, July,894
 Ireland,2010, August,903
 Ireland,2010, september,982
 Ireland,2010, October,1037
 Ireland,2010, november,978
 Ireland,2010, december,764
 US,2010, January,48643
 US,2010, February,43645
 US,2010, March,71553
 US,2010, April,66879
 US,2010, May,65559
 US,2010, June,71781
 US,2010, July,68051
 US,2010, August,55449
 US,2010, september,56599
 US,2010, October,65989
 US,2010, november,59083
 US,2010, december,54003
 Canada,2010, January,11132
 Canada,2010, February,11484
 Canada,2010, March,15125
 Canada,2010, April,15332
 Canada,2010, May,14394
 Canada,2010, June,10378
 Canada,2010, July,14468
 Canada,2010, August,12291
 Canada,2010, september,11570
 Canada,2010, October,13281
 Canada,2010, november,11575
 Canada,2010, december,12273
 Mexico,2010, January,1374
 Mexico,2010, February,1001
 Mexico,2010, March,1906
 Mexico,2010, April,1437
 Mexico,2010, May,1686
 Mexico,2010, June,1585
 Mexico,2010, July,2140
 Mexico,2010, August,1299
 Mexico,2010, september,1738
 Mexico,2010, October,2130
 Mexico,2010, november,1608
 Mexico,2010, december,1344
 Brazil,2010, January,1377
 Brazil,2010, February,892
 Brazil,2010, March,1841
 Brazil,2010, April,2317
 Brazil,2010, May,1604
 Brazil,2010, June,1615
 Brazil,2010, July,2262
 Brazil,2010, August,1527
 Brazil,2010, september,1922
 Brazil,2010, October,2564
 Brazil,2010, november,1635
 Brazil,2010, december,1837
 Australia,2010, January,26904
 Australia,2010, February,20631
 Australia,2010, March,20473
 Australia,2010, April,18383
 Australia,2010, May,14621
 Australia,2010, June,16171
 Australia,2010, July,15563
 Australia,2010, August,12858
 Australia,2010, september,23500
 Australia,2010, October,16659
 Australia,2010, november,15173
 Australia,2010, december,24815
 new zealand,2010, January,2942
 new zealand,2010, February,2092
 new zealand,2010, March,2445
 new zealand,2010, April,2746
 new zealand,2010, May,2457
 new zealand,2010, June,2392
 new zealand,2010, July,3233
 new zealand,2010, August,2538
 new zealand,2010, september,3522
 new zealand,2010, October,2735
 new zealand,2010, november,2058
 new zealand,2010, december,2901
 South Korea,2011, January,268368
 South Korea,2011, February,231640
 South Korea,2011, March,89121
 South Korea,2011, April,63790
 South Korea,2011, May,84014
 South Korea,2011, June,103817
 South Korea,2011, July,140053
 South Korea,2011, August,147030
 South Korea,2011, september,122436
 South Korea,2011, October,132259
 South Korea,2011, november,134009
 South Korea,2011, december,141536
 China,2011, January,99131
 China,2011, February,105362
 China,2011, March,62450
 China,2011, April,76164
 China,2011, May,58608
 China,2011, June,61419
 China,2011, July,86963
 China,2011, August,102640
 China,2011, september,112493
 China,2011, October,106174
 China,2011, november,92154
 China,2011, december,79688
 Taiwan,2011, January,97115
 Taiwan,2011, February,93446
 Taiwan,2011, March,42095
 Taiwan,2011, April,35800
 Taiwan,2011, May,67958
 Taiwan,2011, June,87693
 Taiwan,2011, July,113460
 Taiwan,2011, August,99126
 Taiwan,2011, september,84756
 Taiwan,2011, October,108403
 Taiwan,2011, november,86207
 Taiwan,2011, december,77915
 Hong Kong,2011, January,34410
 Hong Kong,2011, February,49311
 Hong Kong,2011, March,14116
 Hong Kong,2011, April,5774
 Hong Kong,2011, May,11584
 Hong Kong,2011, June,28522
 Hong Kong,2011, July,40524
 Hong Kong,2011, August,38436
 Hong Kong,2011, september,28507
 Hong Kong,2011, October,35468
 Hong Kong,2011, november,33711
 Hong Kong,2011, december,44502
 Thailand,2011, January,11412
 Thailand,2011, February,13597
 Thailand,2011, March,11718
 Thailand,2011, April,8001
 Thailand,2011, May,8457
 Thailand,2011, June,7507
 Thailand,2011, July,12180
 Thailand,2011, August,8631
 Thailand,2011, september,13701
 Thailand,2011, October,19517
 Thailand,2011, november,11488
 Thailand,2011, december,18760
 Singapore,2011, January,9034
 Singapore,2011, February,12474
 Singapore,2011, March,6290
 Singapore,2011, April,2360
 Singapore,2011, May,6999
 Singapore,2011, June,8947
 Singapore,2011, July,7870
 Singapore,2011, August,5502
 Singapore,2011, september,7671
 Singapore,2011, October,8787
 Singapore,2011, november,12552
 Singapore,2011, december,22868
Malaysia,2011, January,6789
Malaysia,2011, February,9133
Malaysia,2011, March,5483
Malaysia,2011, April,3462
Malaysia,2011, May,4139
Malaysia,2011, June,4683
Malaysia,2011, July,5730
Malaysia,2011, August,5219
Malaysia,2011, september,8540
Malaysia,2011, October,7042
Malaysia,2011, november,7724
Malaysia,2011, december,13572
 Indonesia,2011, January,5014
 Indonesia,2011, February,4109
 Indonesia,2011, March,3863
 Indonesia,2011, April,2874
 Indonesia,2011, May,3550
 Indonesia,2011, June,4855
 Indonesia,2011, July,4594
